word,frequency
isigqibo,66
ukufunda,65
luya,65
iinkonzo,65
abe,65
ngokukhawuleza,65
injongo,64
indima,64
uthe,64
lwethu,64
wam,64
mthetho,63
kaloku,63
bakhe,63
amalungiselelo,63
inkxaso,63
t,63
babe,62
eyona,62
of,62
nako,62
amaxesha,62
ngabantu,62
amanqaku,62
lizwe,62
umzantsi,62
ziyacelwa,61
lethu,61
nazo,61
ukusebenza,61
yokuqala,61
iimeko,61
ngaba,61
zibe,61
lentshona,61
endaweni,61
yesikolo,60
mntu,60
aur,60
kuqala,59
nabantu,59
zakhe,59
ngqo,59
umzekelo,59
imibuzo,59
yam,59
iindleko,59
mna,59
kusetyenziswa,58
amalungu,58
lokuqala,58
iindawo,58
kwiindawo,58
nayo,58
zinto,58
ngonyaka,57
ngokuthi,57
emzantsi,57
zezifundo,57
ekufuneka,57
ngazo,57
ngalinye,57
elinye,57
baye,57
namhlanje,57
nezinye,57
utitshala,56
ungadlulanga,56
ngaphezu,56
msebenzi,56
abazali,55
nakuba,55
the,55
nalo,55
abadlali,55
uncedo,55
igama,54
ibhola,54
kufumana,54
amagosa,53
kula,53
kusebenza,53
ingaba,52
ulwazi,52
phondo,52
emfundo,52
aze,52
unyaka,52
umhla,51
nezinto,51
ziza,51
ephakamileyo,51
ngabo,50
lowo,50
abasebenzi,50
noku,50
ukusuka,50
baza,49
omtsha,49
yinto,49
fom,49
amanyathelo,49
ne,49
aza,49
ekupheleni,49
thuba,49
amaziko,49
ukusetyenziswa,49
baze,49
semfundo,49
kwiziko,49
kwesi,48
yintoni,48
ukongeza,48
ize,48
sifuna,48
enkulu,48
sokuba,48
iinkqubo,48
iimviwo,48
uthixo,48
ngoba,48
zokufunda,47
uvavanyo,47
umongameli,47
ukuza,47
yovavanyo,47
kwazo,47
ngeli,47
ntoni,47
esweni,47
iifom,46
nawo,46
amaninzi,46
kwezinye,46
matshi,46
kubekho,46
meko,46
iinjongo,46
umhlaba,45
ngokubanzi,45
zemfundo,45
lwabo,45
kunikwa,45
in,45
ngokumalunga,45
zikarhulumente,45
lolawulo,45
amaphepha,45
nayiphi,44
kwixesha,44
kwalo,44
umviwa,44
wokuqala,44
yehlabathi,44
ufuna,44
kwakhe,44
imihla,44
uqeqesho,44
wabo,44
minyaka,44
b,44
kubalulekile,43
zawo,43
ezahlukeneyo,43
gama,43
wepalamente,43
labo,43
nathi,43
yawo,43
kwabafundi,43
ngale,43
qela,43
wephondo,43
ngcaciso,43
inqununu,43
sikolo,43
nombolo,43
ngaphakathi,43
rhoqo,43
kwibakala,43
novemba,42
ebalulekileyo,42
utshintsho,42
eya,42
ngamandla,42
hayi,42
kwizikolo,42
lonto,42
ingxaki,42
ngamazwe,42
kutheni,42
mdlalo,41
kwiminyaka,41
naziphi,41
mihla,41
ze,41
kwimeko,41
izigqibo,41
amaxwebhu,41
kwicandelo,41
wathi,41
sonke,41
kufanele,41
kubantu,40
ngempumelelo,40
utsho,40
nabanye,40
bantu,40
amagama,40
zesikolo,40
iminyaka,40
bakwazi,39
ga,39
kwiimeko,39
ngamanye,39
iilwimi,39
kuze,39
imfundo,39
ngathi,39
umgangatho,39
veki,39
kuloo,39
uviwo,39
qho,39
ifom,39
zezikolo,38
iikopi,38
ingqalelo,38
ngenjongo,38
size,38
noko,38
wethu,38
ezithile,38
iintsuku,38
ubuncinane,38
wakho,38
cup,38
lam,38
imibutho,38
izithuba,38
ulwimi,38
kwayo,38
lisebe,38
esithi,37
elide,37
no,37
ophelileyo,37
izicwangciso,37
siye,37
lokufunda,37
utywala,37
lwabafundi,37
kwimidlalo,37
kum,37
zikolo,37
ngosuku,37
amanye,36
bebakala,36
elizayo,36
iingxelo,36
amandla,36
kwezo,36
njengokuba,36
umntwana,36
lula,36
zabantu,36
kuthunyelwa,36
nootitshala,36
kwinkqubo,36
ithi,36
lakho,36
ukusebenzisa,36
babaviwa,36
sakho,36
abaphathi,35
kude,35
abatsha,35
bam,35
oyintloko,35
wena,35
olunye,35
zalo,35
amathathu,35
i,35
yesithili,35
kumaziko,35
benze,35
yena,35
